,Unnamed: 0, Rank,Sales,Profits,Assets,Market Value
334,,335,23.9,2.2,24.5,31.5
335,,336,18.7,1.3,39.0,31.3
336,,337,45.4,2.4,42.1,12.6
337,,338,18.1,0.896,225.2,17.9
338,,339,20.4,2.2,24.8,33.6
339,,340,52.2,0.463,73.6,47.3
340,,341,12.5,1.3,228.0,18.0
341,,342,108.3,12.3,3288.0,2.8
342,,343,11.7,1.3,139.8,19.9
343,,344,10.6,1.5,147.8,21.2
344,,345,87.1,0.825,51.5,16.6
345,,346,11.0,2.0,28.1,97.7
346,,347,32.4,0.764,194.4,14.6
347,,348,15.9,1.2,35.5,36.9
348,,349,14.8,2.5,26.7,32.0
349,,350,13.8,2.3,27.1,37.3
350,,351,36.9,1.9,22.3,24.2
351,,352,34.6,0.862,71.2,16.5
352,,353,13.3,2.5,22.3,64.1
353,,354,11.1,1.7,36.0,43.8
354,,355,69.8,7.8,2023.4,1.5
355,,356,13.4,1.2,263.5,14.8
356,,357,12.9,0.704,80.3,48.1
357,,358,35.4,0.856,311.2,10.8
358,,359,183.8,0.115,263.3,114.7
359,,360,110.5,-0.497,260.1,206.1
360,,361,23.1,1.8,26.7,21.6
361,,362,9.0,2.5,51.2,26.2
362,,363,72.1,0.66,85.3,14.7
363,,364,15.3,2.1,27.2,27.7
364,,365,24.0,1.2,29.1,25.6
365,,366,9.7,1.6,230.0,16.6
366,,367,11.9,1.3,51.3,26.1
367,,368,28.3,1.6,58.5,11.3
368,,369,22.0,0.751,100.5,17.6
369,,370,21.7,2.9,14.0,84.6
370,,371,36.6,2.3,27.1,14.8
371,,372,10.5,3.7,22.9,58.0
372,,373,9.1,2.7,28.0,55.9
373,,374,8.1,1.6,64.9,36.7
374,,375,16.6,5.6,13.8,88.2
375,,376,6.3,2.3,237.1,25.1
376,,377,17.4,3.9,14.5,74.5
377,,378,14.5,1.9,21.4,50.9
378,,379,10.8,4.1,18.7,121.3
379,,380,20.9,1.1,26.5,33.1
380,,381,10.8,1.4,33.1,51.7
381,,382,23.5,1.0,34.3,22.8
382,,383,6.4,1.9,289.2,25.9
383,,384,14.9,1.2,46.7,21.1
384,,385,7.7,1.2,288.5,23.8
385,,386,8.3,2.0,74.5,24.2
386,,387,13.4,3.4,16.4,80.5
387,,388,41.4,0.984,37.0,16.1
388,,389,31.9,1.2,29.6,19.1
389,,390,10.6,1.7,26.2,59.9
390,,391,12.1,1.2,48.3,23.8
391,,392,7.6,1.6,164.1,20.7
392,,393,15.1,1.4,28.2,29.1
393,,394,7.6,1.6,86.0,27.9
394,,395,16.2,0.613,66.2,33.1
395,,396,28.3,1.4,25.9,19.9
396,,397,19.5,0.699,206.2,14.9
397,,398,32.4,0.806,54.3,15.4
398,,399,81.1,-4.3,247.3,61.3
399,,400,9.9,1.7,34.9,36.0
400,,401,33.2,2.3,12.9,49.1
401,,402,7.3,3.9,40.7,32.2
402,,403,52.4,-0.849,498.3,60.1
403,,404,10.2,1.3,47.8,27.5
404,,405,25.0,2.2,28.9,13.7
405,,406,37.2,1.1,27.8,18.7
406,,407,9.0,7.3,23.8,36.6
407,,408,12.2,1.6,38.7,21.5
408,,409,22.1,0.769,208.1,11.7
409,,410,36.4,2.0,22.6,15.3
410,,411,6.5,2.8,45.3,42.3
411,,412,15.6,1.3,177.5,10.3
412,,413,9.2,1.5,548.2,12.8
413,,414,15.7,1.6,21.7,33.2
414,,415,34.7,1.0,158.2,8.9
415,,416,10.7,2.1,19.8,87.0
416,,417,152.6,0.483,193.0,11.9
417,,418,153.7,-0.453,124.6,57.3
418,,419,60.8,-9.3,175.7,67.0
419,,420,16.9,1.3,44.5,14.4
420,,421,8.6,1.5,142.9,15.9
421,,422,19.5,0.936,197.0,10.2
422,,423,8.4,1.7,86.3,18.2
423,,424,53.1,1.0,17.6,28.0
424,,425,21.1,0.904,33.3,20.8
425,,426,12.0,1.4,34.1,24.2
426,,427,18.2,2.2,14.6,46.7
427,,428,6.1,2.5,117.7,20.6
428,,429,9.2,1.4,220.8,13.5
429,,430,26.8,0.667,40.0,21.4
430,,431,61.6,-1.6,135.9,58.2
431,,432,13.3,0.561,107.4,26.6
432,,433,9.4,3.7,27.9,24.9
433,,434,18.5,1.4,20.6,28.4
434,,435,31.8,1.4,38.1,11.1
435,,436,12.4,1.3,24.3,39.2
436,,437,34.1,1.4,27.0,13.5
437,,438,54.4,0.594,25.8,30.4
438,,439,17.2,1.5,17.5,38.3
439,,440,41.6,0.477,54.6,20.2
440,,441,44.3,-1.9,1686.6,34.0
441,,442,20.0,1.1,38.6,14.8
442,,443,9.7,1.4,33.5,31.4
443,,444,11.6,1.4,26.6,31.4
444,,445,6.0,1.4,82.0,36.2
445,,446,11.3,1.6,20.4,48.8
446,,447,21.7,1.1,28.6,18.1
447,,448,11.1,1.5,70.0,13.1
448,,449,69.2,-0.393,151.7,40.4
449,,450,24.2,1.5,45.6,10.0
450,,451,11.4,1.7,20.5,44.6
451,,452,11.1,1.1,41.2,22.5
452,,453,6.7,1.6,142.2,18.8
453,,454,35.1,0.81,36.8,14.5
454,,455,73.7,-0.459,167.9,34.8
455,,456,14.5,1.3,27.5,21.1
456,,457,7.8,2.1,67.1,16.7
457,,458,13.2,1.8,18.2,37.8
458,,459,13.2,1.3,24.2,29.5
459,,460,41.7,1.2,27.1,12.5
460,,461,45.7,-2.9,104.5,56.2
461,,462,50.0,0.439,30.0,37.8
462,,463,7.8,1.3,80.4,18.8
463,,464,16.8,0.782,40.4,18.5
464,,465,13.6,2.0,15.2,45.5
465,,466,16.9,2.3,14.0,33.6
466,,467,17.1,0.78,24.1,34.9
467,,468,21.3,1.1,16.0,39.6
468,,469,10.2,1.6,26.6,26.8
469,,470,11.2,1.1,27.9,31.4
470,,471,13.7,0.913,25.5,33.7
471,,472,15.2,2.4,12.1,64.9
472,,473,11.5,1.1,22.6,44.3
473,,474,11.3,1.5,21.0,36.2
474,,475,23.3,0.858,67.4,10.5
475,,476,36.6,0.688,203.8,8.6
476,,477,31.7,1.1,27.7,13.2
477,,478,57.0,-0.164,129.1,34.7
478,,479,10.3,0.869,46.3,25.4
479,,480,7.5,1.9,38.3,25.4
480,,481,13.6,1.2,21.3,32.3
481,,482,14.7,0.689,32.4,31.6
482,,483,15.7,0.814,29.8,24.5
483,,484,36.6,0.501,437.4,10.0
484,,485,21.9,0.337,92.9,32.4
485,,486,27.8,1.4,13.7,31.1
486,,487,20.2,0.328,66.1,51.7
487,,488,16.1,1.1,46.5,12.3
488,,489,12.8,1.2,19.5,40.9
489,,490,10.9,1.7,30.9,17.4
490,,491,29.9,-2.8,806.7,30.1
491,,492,11.1,1.1,288.3,9.7
492,,493,6.9,1.8,39.8,26.5
493,,494,7.5,1.0,77.1,21.4
494,,495,27.8,-1.7,78.0,109.2
495,,496,24.4,-13.0,906.6,33.3
496,,497,5.7,1.3,123.4,23.5
497,,498,16.5,1.0,23.9,20.6
498,,499,11.8,2.1,15.2,42.0
499,,500,21.6,-7.1,986.9,35.0
500,,501,14.7,1.4,25.9,16.3
501,,502,12.5,2.1,17.6,26.0
502,,503,38.5,-0.67,74.7,56.0
503,,504,8.6,1.4,36.1,20.8
504,,505,13.0,1.2,18.3,36.3
505,,506,22.7,2.2,10.9,39.9
506,,507,15.5,1.1,23.2,20.1
507,,508,11.0,0.866,150.2,11.8
508,,509,15.7,0.939,23.0,24.3
509,,510,6.3,1.2,80.7,22.9
510,,511,36.3,0.831,35.2,11.2
511,,512,6.7,1.7,410.7,11.7
512,,513,14.7,0.702,34.8,21.4
513,,514,35.0,2.0,37.8,7.4
514,,515,4.5,2.2,90.5,27.6
515,,516,11.8,1.6,21.1,22.5
516,,517,35.7,1.1,13.8,25.9
517,,518,13.0,0.654,76.6,15.9
518,,519,23.8,-3.6,89.8,61.3
519,,520,10.2,4.9,15.5,28.6
520,,521,10.5,1.5,19.3,33.9
521,,522,12.9,1.1,26.5,19.9
522,,523,9.2,1.7,88.1,10.2
523,,524,41.3,0.102,88.9,33.8
524,,525,11.7,1.3,304.8,7.9
525,,526,14.7,1.2,22.9,18.5
526,,527,11.7,1.8,118.0,7.9
527,,528,12.1,1.9,15.9,28.0
528,,529,22.0,0.96,91.8,54.8
529,,530,5.4,1.8,31.1,53.0
530,,531,7.5,1.7,19.7,56.8
531,,532,17.1,0.847,22.9,20.6
532,,533,17.5,1.4,15.0,25.1
533,,534,8.1,1.5,195.0,9.8
534,,535,19.4,-0.247,646.7,30.2
535,,536,50.2,1.0,105.5,6.1
536,,537,13.5,1.6,14.3,35.6
537,,538,12.7,1.4,23.3,18.0
538,,539,11.8,0.993,27.6,19.8
539,,540,8.8,0.887,40.1,22.6
540,,541,11.0,1.6,17.8,27.4
541,,542,8.0,3.8,15.8,39.0
542,,543,19.1,1.1,20.1,17.4
543,,544,16.6,0.703,128.6,9.2
544,,545,39.2,0.115,100.0,26.2
545,,546,5.8,1.2,126.7,17.4
546,,547,13.5,1.5,17.4,21.4
547,,548,17.5,0.626,47.0,13.4
548,,549,7.8,1.3,153.4,10.5
549,,550,18.4,2.0,26.6,9.4
550,,551,5.8,1.0,150.6,17.6
551,,552,8.0,1.2,48.2,15.1
552,,553,9.3,1.6,16.5,40.9
553,,554,17.2,0.74,55.5,10.4
554,,555,19.0,1.2,14.8,24.4
555,,556,25.2,0.497,228.7,9.0
556,,557,10.1,1.1,163.7,9.1
557,,558,35.5,-2.0,62.6,35.0
558,,559,15.6,0.513,40.4,19.7
559,,560,6.2,1.1,179.6,14.3
560,,561,25.6,0.905,24.6,12.5
561,,562,11.6,0.342,67.0,51.3
562,,563,15.7,1.1,17.4,21.4
563,,564,4.8,1.5,50.2,32.1
564,,565,63.5,0.429,64.3,10.7
565,,566,10.7,0.868,32.0,18.5
566,,567,23.5,1.1,25.1,10.4
567,,568,11.1,0.931,63.6,10.6
568,,569,39.4,1.2,14.2,14.9
569,,570,12.1,1.4,13.2,42.9
570,,571,5.8,1.3,33.2,33.3
571,,572,10.3,0.777,70.1,12.6
572,,573,5.5,1.8,122.0,12.5
573,,574,17.8,1.1,17.0,17.7
574,,575,11.6,0.84,42.3,13.3
575,,576,5.2,1.0,123.9,19.8
576,,577,3.6,1.5,69.4,40.1
577,,578,11.0,0.852,22.7,25.1
578,,579,20.6,-1.7,89.3,30.9
579,,580,5.8,0.956,30.9,52.2
580,,581,38.9,0.701,22.7,12.7
581,,582,12.7,0.901,20.8,21.3
582,,583,28.8,1.2,14.4,15.2
583,,584,13.3,0.527,33.8,22.3
584,,585,7.9,1.5,91.6,9.2
585,,586,8.2,2.5,16.5,24.9
586,,587,6.0,1.2,41.5,21.1
587,,588,78.4,0.232,61.8,19.2
588,,589,9.5,1.1,28.9,16.1
589,,590,20.7,0.896,16.0,18.3
590,,591,6.4,1.0,61.9,16.2
591,,592,15.6,-1.9,49.6,87.6
592,,593,9.5,0.909,257.2,8.2
593,,594,4.9,1.5,59.2,20.3
594,,595,7.3,1.5,18.6,33.4
595,,596,8.5,1.3,22.3,20.9
596,,597,9.1,1.5,16.0,29.4
597,,598,10.1,2.1,11.9,34.9
598,,599,15.3,0.759,20.9,18.4
599,,600,5.4,0.791,137.3,18.9
600,,601,22.1,-0.457,48.8,38.5
601,,602,17.0,1.0,20.1,13.1
602,,603,7.1,1.2,54.2,12.1
603,,604,12.0,1.6,15.1,19.1
604,,605,18.6,0.836,20.7,14.2
605,,606,8.2,1.1,22.8,23.7
606,,607,59.8,-9.3,70.4,16.9
607,,608,61.9,-3.7,118.2,13.5
608,,609,26.1,-0.749,49.2,30.3
609,,610,17.4,0.983,52.4,7.2
610,,611,44.3,0.732,46.4,7.0
611,,612,22.0,1.3,11.9,19.1
612,,613,7.8,0.786,224.1,10.0
613,,614,7.6,0.942,32.1,18.8
614,,615,21.6,0.582,64.4,8.6
615,,616,33.9,0.452,40.8,11.0
616,,617,18.7,1.1,19.4,11.3
617,,618,4.9,1.3,81.3,16.1
618,,619,14.8,0.694,30.2,12.9
619,,620,13.7,0.751,29.1,13.1
620,,621,9.0,0.948,41.1,12.3
621,,622,10.4,1.4,13.9,28.4
622,,623,7.5,0.94,31.3,19.0
623,,624,72.0,-0.65,58.0,16.6
624,,625,7.6,0.977,36.0,15.5
625,,626,14.1,0.827,22.1,14.9
626,,627,3.3,2.8,45.9,22.9
627,,628,17.2,0.77,28.8,10.4
628,,629,44.0,0.362,36.9,13.5
629,,630,20.7,0.888,19.2,12.4
630,,631,17.0,0.522,20.6,23.6
631,,632,4.5,1.3,84.7,17.4
632,,633,6.1,1.2,125.6,10.3
633,,634,18.3,1.0,15.2,15.4
634,,635,15.7,0.821,17.0,17.8
635,,636,2.4,2.7,43.0,23.6
636,,637,16.7,1.2,12.3,20.2
637,,638,42.7,0.743,19.2,10.6
638,,639,13.9,1.0,17.4,15.7
639,,640,11.1,0.48,34.7,21.2
640,,641,22.5,0.707,15.8,17.5
641,,642,5.4,1.1,79.5,13.4
642,,643,9.6,0.923,20.7,19.5
643,,644,9.9,1.4,16.9,17.9
644,,645,13.4,1.2,11.5,27.3
645,,646,7.1,1.2,16.6,37.8
646,,647,5.0,2.5,15.8,71.5
647,,648,13.7,0.651,18.2,21.6
648,,649,9.3,0.568,26.0,26.3
649,,650,75.5,0.057,76.1,12.4
650,,651,40.6,0.558,20.2,12.2
651,,652,14.2,1.6,13.3,15.2
652,,653,8.7,1.5,13.3,30.4
653,,654,4.9,2.0,29.3,20.5
654,,655,5.9,0.994,18.2,75.4
655,,656,11.4,0.965,15.6,20.2
656,,657,16.2,0.731,15.2,19.4
657,,658,12.7,3.5,45.6,4.7
